MHCLG code,Area code,Area name ,a1a,a1b,a2a,a2aa,a2ab,a2b,a2ba,a2bb,a2c,a2ca,a2cb,a2d,a2da,a2db,a2e,a2ea,a2eb,a2f,a2fa,a2fb,a2g,a2ga,a2gb,a2h,a2ha,a2hb,a2ia,a2iaa,a2iab,a2ib,a3a,a3aa,a4a,a4ba,a4bb,a4c,a4d,a5a,b1a,b2aa,b2ab,b2ac,b2aaa,b2aab,b2aac,b2aba,b2abb,b2abc,b2aca,b2acb,b2acc,b2ada,b2adb,b2adc,b2ba,b2bb,b2bc,b2ca,b2cb,b2cc,b2da,b2db,b2dc,b2ea,b2eb,b2fa,b2fb,b2fc,b2faa,b2fab,b2fac,b2faaa,b2faab,b2faac,b2faba,b2fabb,b2fabc,cc1a,cc1aa,cc1ab,cc1ac,cc1ad,cc1ae,cc2a,cc3a,cc3aa,cc3ab,cc4a,cc4aa,cc4ab,cc5a,cc5aa,cc5ab,cc5ac,cc5ad,cc5ae,cc6a,cc6aa,cc7a,cc8a,d4a,d4aa,d4ab,d4ac,d4ad,d8a,d8aa,d8ab,d8ac,d9a,d9aa,d9ab,d10a,d10aa,d10ab,d11a,d12a,e1a,e2aa,e2ab,e2ac,e2ba,e2bb,e2bc,e2ca,e2cb,e2cc,e2da,e2db,e2dc,f1a,f1b,f2aa,f2ab,f2aaa,f2aab,f2ba,f2bb,f2baa,f2bab,f2ca,f2cb,f2caa,f2cab,f2cba,f2cbb,f2cca,f2ccb,f2cda,f2cdb,f2da,f2db,f2daa,f2dab,f5a,f5aa,f5ab,f6a,f7a,f8a,f9a,f10a,f11a,f12aa,f12ab,f12ac,f12ba,f12bb,f12bc,f12ca,f13a,f13b,f13c,f13d,f13e,f13da,f13db,f13dc,f14a,f14b,f14c,f14e,f15a,f15b,f16a,f16b,f16c,f16aa,f16ab,f16ac,f16ba,f16bb,f16bc,f16ca,f16cb,f16cc,f16da,f16db,f16dc,f17a,f24a,f25aa,f25ab,f25ba,f25bb,f25ca,f25cb,f25da,f25db,f25ea,f25eb,f25fa,f25fb,g1a,g2a,g2aa,g2ab,g2ac,g2ad,g3a,h1a,h1b,h2a,h2b,h3a,h3b,h4aa,h4ab,h4ba,h4bb,h4ca,h4cb,h4da,h4db,h4ea,h4eb,h4fa,h4fb,h4ga,h4gb,h4ha,h4hb,h5a,h6a,h8a,h9a,h10a,h11a,h12a,h13a,h14a,i1a,i2a,i3aa,i3ab,i3ba,i3bb,i3ca,i3cb,i3da,i3db,i3ea,i3eb,i3fa,i3fb,i4aa,i4ab,i4ba,i4bb,i4ca,i4cb,i4da,i4db,i4ea,i4eb,i4fa,i4fb,i5aa,i5ab,i5ba,i5bb,i5ca,i5cb,i5da,i5db,i5ea,i5eb,i5fa,i5fb,i6a,i7a,i7b,i7c,i7d,i7e,i7f,i8a,i8b,i8c,i8d,i8e,i8f,i9a,i9b,i9c,i9d,i9e,i9f,i10a,i10b,i10c,i10d,i10e,i10f,i10g,i10h,i11a,i12a,i13a,i14a,i15a,i16a,i17aa,i17ab,i17ba,i17bb,i17ca,i17cb,i17da,i17db,i17e,i17dc,i17dd,i17de,j1aa,j1ab,j1ba,j1bb,j1ca,j1cb,j1da,j1db,j1ea,j1eb,j1fa,j1fb,j1ga,j1gb,j1ha,j1hb,j2aa,j2ab,j2ba,j2bb,j2ca,j2cb,j2da,j2db,j2ea,j2eb,j2fa,j2fb,j2ga,j2gb,j2ha,j2hb,j3aa,j3ab,j3ba,j3bb,j3ca,j3cb,j3da,j3db,j3ea,j3eb,j3fa,j3fb,j3ga,j3gb,j3ha,j3hb
,E92000001,England,1592156,43210,38539,38486.04,52,458849,455058.66,3790,533996,526359.89,7635.05,511725,506999.08,4724.75,40414,39772.48,642,3563,3512,51,896,882,14,2460,2458.33,2,1590439,1573528,16910,1569011.88,69427.948,68109.838,2253,216,-29,3667.14,1713.05,539,27205,12865,1069998,776610,2001,167183,139516,4046,339847,244964,6818,562968,392130,769,82398,57134,7,1370,78,11,1440,415,208,43943,268,22,641,13113,1117392,777371,3880,386814.96,275145.68,3761,360833.96,273401.18,6,859,78,1114477,511349.6662,320788.7116,167722.3835,53145.37751,61622.69751,42,171,,111,189,159,1487,494174,69013.8928,62532.62302,233588.4189,114876.2413,23675.42893,48213,2447,297,308,30663,1210,1456,1671,424,66935,2621,2601,894,10687,7234,2316,108225,95446,12073,97669,3860,23199,5230,3008,8238,3577,2612,6189,1640,6698,8338,10447,12318,22765,,,27229,31469,2801,2871,69244,61016,11434,11381,25201,20081,6541,4273,3110,4123,15623,11945,122,202,4542,8631,,,2676,38865.35,2660,22047,18582,477742,68535,45592,2475,22645,96723.81217,26396.67235,4867,19307.05812,1526.52,27512,40125,103478,33371,4966,70324,5214,543,2066,350085.728,375777.134,204170.762,613146.229,25830,64293,70332,582339.25,857981.2922,2504,3692.371,75835.38961,55345,404256.915,595825.7805,10296,79018.735,400131.3126,7047,32223.59,290499.598,4.482056567,2570011.911,461317,1702532.899,2253,8367,355,22402.156,3667.14,448527.819,1713.05,315639.704,308849,2503700,34.27946429,5482,4469,369,238,447,947,,,89.58630513,117.9736975,86.4225833,113.4873646,73.108677,104.187381,76.43070243,96.78570011,86.33493546,110.8941646,95.00585963,124.8630801,113.7603994,150.956873,133.6409447,161.0463265,146.4314319,198.4464286,86.5847727,112.3402312,234945822.8,147632805.4,35926315,7249615883,21911786.44,101643685.8,7138739163,4.321590916,96.481799,4777,928,534,195,681,246,10,0,0,40,28,102,1253,583,405,2940,384,2058,78,373,2,193,349,3213,1218,8777,88,57,185,95,83,57,41,781,2,17,399,1007,77,569,14,359,0,6,948,229,68,97,12,151,557,139,257,39,55,125,615,7079,17925,3545,3376,9790,260,6035,48010,17.02,765535.656,374745.077,192946.6305,86,5197,441,334,856,569,372,584,1669,1487,1735,400,215,530,839,259,1053,261,6,25,59,74,102,92,0,0,7,17,2066,728,192,1724,665,2129,59,520,0,101,120,3120,0,14,27,637,1063,8245,31,17,70,44,35,29,9,607,2,13,0,26,55,72,202,808
,,Unitary Authorities,309187,8928,6442,6429,13,91530,90066.65,1463,102107,99440.2,2666.45,106501,105094.25,1407.05,6481,6391.18,90,474,466,8,94,89,5,296,295,1,313925,308271,5653,311545,10156.351,10760.932,310,89,-4,919.8,336,177,5577,2960,197632,158225,427,26245,24728,854,51623,42370,1679,119764,91127,230,19898,15840,0,0,0,0,0,0,23,2160,0,20,0,3003,199792,158225,651,29849.82,34319.68,648,29779.82,34165.68,0,0,0,242984,114245.9462,68863.43159,34304.58351,10850.77751,14715.77751,7,31,,13,36,28,358,107041,11618.0607,9765.435156,53205.73847,34672.24769,7189.158943,14485,902,46,52,6248,226,356,557,218,14192,250,1007,430,2605,1749,598,23045,19896,3149,26039,1781,4074,1115,590,1705,698,608,1306,285,811,1096,2098,2009,4107,,,6337,6210,715,680,13263,12580,2212,2474,4635,4987,1978,1797,397,648,2322,2594,11,5,1661,6423,,,281,317,265,5423,4913,107958,15403,13797,444,5159,16772.652,2958.191,908,5763.249,723,6067,4391,30541,5703,753,9171,1153,0,90,8879.6,83315.99,13692,37903,4711,21705,9171,39476,77863.74852,291,317,17911.00607,5959,23258,47784.49245,1128,4633,39222.60632,2650,6314.58,23526.91525,2.943715996,426163,98959,270507.52,310,2594,100,3550,919.8,111496,336,23490,69451,408835,37.14193548,1042,846,52,82,20,127,,,82.7201923,101.2494647,79.6175237,96.57018146,64.53139368,56.17,70.17753848,82.84122603,79.23448555,97.39357807,88.51722083,110.7012654,97.5969263,130.8384615,106.1369099,127.3866667,116.1911236,197.436,79.55022829,96.22695715,37630639.73,25234848.13,6489316,1320504000,3606493.07,17727535.47,1299558883,4.396880894,95.28348092,1290,502,141,85,198,68,0,0,0,0,1,16,340,169,221,667,117,531,49,72,0,21,69,791,456,2082,6,52,0,60,36,17,5,293,0,0,47,422,25,75,0,118,0,0,193,49,6,16,0,1,72,92,222,7,47,112,480,1884,3576,174,784,1679,76,1832,10005,0,73891.9,36324.5,21743,0,0,85,48,237,94,66,148,388,290,258,83,67,110,129,0,219,147,6,0,0,6,10,31,0,0,0,0,364,184,18,462,195,528,0,105,0,20,44,853,0,0,0,456,257,2424,0,17,41,7,29,4,9,259,0,0,0,0,0,4,79,291
F0114,E06000022,Bath and North East Somerset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4084,2135,1218,523,208,0,N,Y,1,N,N,..,..,428,50,31,16,341,0,5,5,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,53,3556,532,477,21,164,92,40,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,2,43,2,143,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,4,40,0,0,150,0,824,125,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,34,0,0,0,0,0,134,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,17
K0235,E06000055,Bedford,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,356,340,239,150,0,N,Y,3,N,Y,-,..,976,131.498022,118.2520423,445.6086487,219.6860878,44.17133629,0,0,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,4,858,115,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,44,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,72,0,0,172,0,327,72,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,53,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2372,E06000008,Blackburn with Darwen,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3381,1684,972,544,181,0,Y,N,..,N,Y,Y,,1949,76,0,795,612,57,409,11,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,115,120,20,17,0,137,417,0,89,318,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,222,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J2373,E06000009,Blackpool,4747,0,86,86,0,2533,2276,257,950,862,88,1045,963,82,86,82,4,1,1,0,2,2,0,44,44,0,4747,4316,431,4747,121.311,113.776,4,0,0,13,0,0,34,13,450,374,1,15,31,6,185,161,6,250,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,450,374,4,70,104,4,70,104,0,0,0,5954,3186,1775,717,273,3,N,N,..,Y,N,N,..,2682,170,91,1137,961,986,357,5,Y,Y,214,5,0,24,21,258,5,34,24,5,4,1,477,364,113,256,502,119,32,11,43,5,10,15,0,61,61,37,82,119,C,C,37,55,0,0,344,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,600,540,3000,138,130,80,-,-,-,-,-,-,0,1,402,0,0,4,0,0,0,3.6,1145.64,0,20,9,524,4,20,5000,2,10,5000,0,0,0,0,0,0,4,10,2500,0,3125,1276,2802.52,4,0,0,0,13,322,0,0,1151,322,23.24,20,16,4,0,0,0,48,48,73.72,94.46,68.04923077,87.19384615,61.68,0,62.84,77.18,70.37,94.46,77.21,108.58,89.15,113.7,108.49,0,112.31,0,68.05,87.2,325741.41,277406.31,136103,18150803.05,98242.81,403020.54,17649540,3.4,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1250,E06000028,Bournemouth,5258,0,375,375,0,1987,1958,29,1528,1482.5,45.45,1111,1032.5,78.7,99,94.38,5,11,11,0,3,3,0,0,0,0,5115,4956,158,5100,260.922,250.357,0,0,0,22,6,0,48,38,4169,2947,7,301,542,15,1425,1155,16,2443,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4169,2947,15,900,1150,15,900,1150,0,0,0,4379,2276,1235,634,234,0,N,Y,3,N,N,..,..,4379,773,530.5591121,2714,1308,110,8,0,Y,Y,92,10,9,1,0,210,9,0,0,44,25,19,346,231,115,56,0,33,22,0,22,8,0,8,0,3,3,30,3,33,C,C,400,500,0,0,214,230,0,0,98,70,0,0,16,20,82,50,0,0,0,0,0,0,0,0,0,55,31,3400,527,520,4,51,220,0,72,424,0,123,0,0,0,0,0,0,0,0,0,0,0,0,36,5098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5462,3012,8845,0,0,0,0,22,2116,6,1265,2334,12226,30.81,7,6,1,0,0,0,52,52,82.38,139.83,82.38,139.83,64.15,0,75.25,111.61,84.2,129.78,97.64,150.97,102.55,212.79,108.95,0,109.96,0,82.38,139.83,539050.81,540247.2,43201,23016817.65,1285,144652.27,22870880,4.7,99.81110915,0,0,0,0,6,5,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522,321,25,0,0,6,0,5,0,0,5,11,5,6,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0335,E06000036,Bracknell Forest,84,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1562,692,325,318,227,0,N,Y,4,N,N,..,..,1466,110,107,1290,238,8,175,12,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,8,0,0,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,200,40,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,10,0,0,75,0,1383,566,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1445,E06000043,Brighton and Hove,11564,15,652,652,0,3624,3555,69,4351,4310,41,2634,2608,26,239,239,0,46,46,0,6,6,0,0,0,0,11552,11416,136,11552,-,601.247,0,0,-2,102,4,0,109,52,8102,4064,13,1216,1016,21,3307,1642,18,3579,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,8102,4064,28,3479,2189,28,3479,2189,0,0,0,14785,5427,2753,1176,157,5272,N,Y,5,N,Y,Y,15,7244,0,1500,3403,2319,22,419,1,Y,Y,178,0,0,29,0,471,1,44,0,99,95,4,748,621,127,164,0,104,50,18,68,24,3,27,0,9,9,74,30,104,D,D,440,390,410,375,505,520,80,75,205,220,40,70,32,25,185,150,3,5,0,0,0,0,0,0,0,-,-,6675,1200,1184,-,0,0,0,0,0,0,0,0,2455,0,0,0,0,0,0,0,11988,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36044,5118,22494,0,0,-2,575,102,12738,4,237,3572,36044,20.03,3,2,1,0,0,20,52,52,84.29,167.3,84.29,167.3,64.7,0,74.5,142.76,84.99,185.55,98.52,229.85,105.85,0,120.01,0,131.35,0,84.29,162.19,694422.28,594937.64,95387,50584725.4,41423.52,565557.12,49977745,2.5,99,0,0,2,0,43,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,44,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,90,0,0,193,0,0,0,0,0,0,7,0,28,1,10,0,45,1,46,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z0116,E06000023,Bristol,27095,500,309,309,0,6544,6544,0,10411,10411,0,9371,9371,0,379,379,0,18,18,0,6,6,0,0,0,0,27038,27038,0,27038,885.85,885.85,0,0,0,56,5,3,335,264,21547,18626,182,16108,13024,23,1160,1616,59,4279,3986,100,10669,7422,-,-,-,0,0,0,0,0,0,20,0,284,21547,18626,62,3194,4169,62,3194,4169,-,-,-,11693,6112,3431,1742,408,-,N,Y,2,N,Y,Y,0,5984,729,23,2745,2633,14,133,15,Y,Y,496,3,-,0,0,806,0,0,0,216,113,103,1518,1436,82,400,0,389,50,91,141,166,63,229,5,14,19,221,168,389,C,C,868,671,0,0,1054,1200,0,0,378,208,0,0,9,27,369,181,0,0,854,6,15,9,144,166,144,183,183,12559,2034,1633,8,55,96,215,13,47,8,68,641,127,623,470,1115,468,0,2,1923,381,1869,4173,468,3031,1115,4173,3742.600897,144,166,1152.777778,1133,3366,2970.873786,1,3,3000,263,789,3000,4,33448,0,32479,0,0,0,0,56,7096,5,1076,-,40651,44,37,37,-,0,-,12,52,0,80.3,0,80.3,0,61.3,0,69.54,0,77.52,0,90.83,0,96.22,0,104.57,0,125.92,0,80.29,-,8071068.75,2696553.84,1285052,113930843.7,738104.38,1930769.42,111261970,9.5,98.84502135,0,0,47,0,0,0,0,0,0,0,0,0,47,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,98,427,0,153,0,0,0,678,0,1785,645,250,0,0,4,0,40,0,12,5,56,5,19,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,31,0,0,0,0,0,0,0,31,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
